trackName,artistName,msPlayed,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Epilogue,Jóhann Jóhannsson,191628,compositional ambient,0.252,0.0875,9,-24.711,0,0.0403,0.989,0.873,0.108,0.126,135.774,audio_features,47DeTufpEGrePu6TaVEuoN,spotify:track:47DeTufpEGrePu6TaVEuoN,https://api.spotify.com/v1/tracks/47DeTufpEGrePu6TaVEuoN,https://api.spotify.com/v1/audio-analysis/47DeTufpEGrePu6TaVEuoN,108969,3
Epilogue,Jóhann Jóhannsson,191628,compositional ambient,0.252,0.0875,9,-24.711,0,0.0403,0.989,0.873,0.108,0.126,135.774,audio_features,47DeTufpEGrePu6TaVEuoN,spotify:track:47DeTufpEGrePu6TaVEuoN,https://api.spotify.com/v1/tracks/47DeTufpEGrePu6TaVEuoN,https://api.spotify.com/v1/audio-analysis/47DeTufpEGrePu6TaVEuoN,108969,3
