trackName,artistName,msPlayed,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Rolex,Ayo & Teo,133178,trap,0.804,0.886,1,-2.512,1,0.04,0.0837,0.0,0.266,0.789,144.946,audio_features,0pSBuHjILhNEo55xK1zrRt,spotify:track:0pSBuHjILhNEo55xK1zrRt,https://api.spotify.com/v1/tracks/0pSBuHjILhNEo55xK1zrRt,https://api.spotify.com/v1/audio-analysis/0pSBuHjILhNEo55xK1zrRt,238587,4
SOLVED THE PROBLEM,Comethazine,235219,trap,0.934,0.698,10,-10.394,0,0.248,0.00277,1.44e-05,0.101,0.691,98.43,audio_features,3gahizdt1kEi5ovjCn6eql,spotify:track:3gahizdt1kEi5ovjCn6eql,https://api.spotify.com/v1/tracks/3gahizdt1kEi5ovjCn6eql,https://api.spotify.com/v1/audio-analysis/3gahizdt1kEi5ovjCn6eql,117073,4
Rolex,Ayo & Teo,133178,trap,0.804,0.886,1,-2.512,1,0.04,0.0837,0.0,0.266,0.789,144.946,audio_features,0pSBuHjILhNEo55xK1zrRt,spotify:track:0pSBuHjILhNEo55xK1zrRt,https://api.spotify.com/v1/tracks/0pSBuHjILhNEo55xK1zrRt,https://api.spotify.com/v1/audio-analysis/0pSBuHjILhNEo55xK1zrRt,238587,4
SOLVED THE PROBLEM,Comethazine,235219,trap,0.934,0.698,10,-10.394,0,0.248,0.00277,1.44e-05,0.101,0.691,98.43,audio_features,3gahizdt1kEi5ovjCn6eql,spotify:track:3gahizdt1kEi5ovjCn6eql,https://api.spotify.com/v1/tracks/3gahizdt1kEi5ovjCn6eql,https://api.spotify.com/v1/audio-analysis/3gahizdt1kEi5ovjCn6eql,117073,4
